Date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM
1967-10-12,-0.03799855829193543,-0.021499986361692758,-0.0036828989163954495,-0.048928658834070715,-0.019970404520670892,-0.010919310843276575,-0.04926973487725905,-0.0578990178027492,-0.025136164631772262,-0.011916155356159593,-0.020423933124132827,-0.04778389905459601,0.10026817026307122,-0.033350161587529875,-0.030144824736019205,-0.046057480134285456,-0.14087275002783528,0.016836110398723625,-0.17395293688681068,-0.02794797570026608,0.024717423243878323,-0.059442170600424005,-0.06380044421901299
1967-10-13,-0.023683887632820172,-0.017913024924676446,-0.0053215827045271225,-0.0610556809714109,-0.010010745314527059,-0.000875978015501433,-0.03987053997615664,-0.06484587027908484,-0.043544647017279225,0.01652418226748998,0.007336107902302827,-0.06572062713060589,0.10699220462588022,-0.023101092855513372,-0.0020509421042607112,-0.05683948334983535,-0.13791778811219935,0.009153762913473862,-0.1636837827570119,-0.029478042994091957,0.057148143671229834,-0.05393341437271881,-0.05035811208182572
1967-10-16,-0.020087317097198173,-0.02251563463107681,-0.014777704918789658,-0.07691226995039924,-0.026232825975918028,0.028613853358727015,-0.04913824966715519,-0.05773639947254616,-0.03526555926014441,-0.0032960324427220127,-0.021428311290846346,-0.06269551955558272,0.09536422177323178,-0.024389195692409688,-0.01853124482215507,-0.04298203863976813,-0.1368016923900064,-0.0009518684816230971,-0.180459299123787,-0.025956591617484648,0.08328011269988889,-0.032886760789891945,-0.07192647298735522
1967-10-17,-0.020597060451874066,0.009385120458698604,-0.003457301616499764,-0.057476173191833846,-0.037121387247743276,0.009646044657456887,-0.04523711676343656,-0.0580709524334313,-0.053362636093799876,0.020252505384491047,-0.007440070230566736,-0.05778318778501301,0.08227338196792944,-0.03454634268291401,-0.02383383711593834,-0.06319411519085749,-0.13070098559278076,0.009647785793520602,-0.16921464577882617,-0.05094966725986305,0.08376247801917702,-0.034603614137674654,-0.07991041175448621
1967-10-18,-0.012994272845300012,0.019490590207182523,-0.003962571987827651,-0.06350636554412037,-0.039121848549593996,-0.018721082214199214,-0.04384863989563437,-0.05783154412500191,-0.014974791470288795,0.019732269485742568,-0.0050658403587527,-0.05530992910973209,0.10106574902747323,-0.027449650095634104,-0.035611128513208135,-0.06017483534666246,-0.13244190929400768,-0.004155398590033776,-0.15407470525613753,-0.03829021884687389,0.08457569852423791,-0.04191913492355903,-0.08111409891028054
1967-10-19,-0.018975966358584367,0.03286763971780221,-0.00960526808623624,-0.0569787444342833,-0.03817784857457818,-0.03116654243961814,-0.04299549634789235,-0.06133925927900208,-0.0030128084594822635,0.006343169048020431,-0.006412759830622637,-0.05034325797422934,0.10597880354905609,-0.03396748811553835,-0.029759369923758605,-0.056394209013638896,-0.14370558170176606,-0.005214766837112861,-0.14995715245044217,-0.04210182290673936,0.06675937665020543,-0.03402158339522687,-0.07606525467763015
1967-10-20,-0.025159198513100306,0.04016448021471117,0.016176270765400208,-0.053520003247892856,-0.05360654630477446,-0.014574891537309398,-0.04688844610740017,-0.06339163564498684,-0.028443928896667803,0.007035191582974224,-0.016163708853681256,-0.05677383695294891,0.10892620948589715,-0.05205750653455832,-0.016940345748098995,-0.06530149549520736,-0.1449521174244861,-0.0032967423263957907,-0.16365645553661956,-0.051414112840061144,0.07969853991101367,-0.04223008413238638,-0.06277224930788905
1967-10-23,-0.021873530515983133,0.018566817473718245,0.019112670117732294,-0.06001091257306568,-0.02353436636094941,-0.017142989219915528,-0.03558207685655279,-0.05748110212818269,-0.01682035104826396,0.013156550586989987,-0.016201583337664062,-0.06650900998882214,0.09079065495483651,-0.04041933078397031,-0.055904232721769365,-0.0665225019118707,-0.14147162459287088,0.011087652645897644,-0.17583908914389657,-0.051716053044512655,0.10155304034509083,-0.03639272906685531,-0.07752918982584123
1967-10-24,-0.017070090834516355,-0.003917663573330954,0.012071680607472018,-0.051198454044616426,-0.032952281268040506,-0.022902249960276233,-0.04724422403883877,-0.054381380835175186,-0.03358974840175799,0.01749223327405216,-0.030007551533898585,-0.04834281007200847,0.0913612380703488,-0.05044916326896359,-0.04195195150325559,-0.053650598975209185,-0.14236299146419418,-0.001958487072301396,-0.18691624325970313,-0.053325140420751094,0.0736040577262711,-0.043277650151970715,-0.08508914972108417
1967-10-25,-0.014161660306697854,-0.00709510790965201,0.0320606163682097,-0.05552245756421126,-0.04250786742905455,0.00033113453399091775,-0.04408292971902816,-0.044620453697141516,-0.030726036992508643,0.01704908879708816,-0.020399232197840678,-0.04058442107367455,0.08921344643881735,-0.04212351047331048,-0.03640413933059361,-0.05411651525270411,-0.15195443778051754,0.0058283853666639684,-0.17421043813825587,-0.05359063234929917,0.0652249100038712,-0.035623037237403565,-0.07934264805798819
