Date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM
1967-10-12,0.0004620883465468184,0.008276214774076252,0.025993971756785417,0.008783823815019742,0.020056351018737983,0.013290879649730691,0.007138791441158976,0.007167695284386322,0.015414523533323121,0.021511222581566347,0.015030101994503164,0.005542320843999277,0.25004448142162605,0.008847227494645393,0.010252344862834967,0.007322500861447284,0.0006480556859849822,0.0473211415493755,0.00022342942874045398,0.012362322844289203,0.05931033077307424,0.006083627938230807,0.00613507069655897
1967-10-13,0.013569603717501932,0.011211589412262635,0.02416600997505669,0.00461419322672596,0.02445981469025582,0.014986482420738606,0.011336273317693046,0.005445638027784194,0.008580163155616105,0.050911745913827855,0.04261383428732213,0.003976262618575949,0.2692475913468826,0.016975923513920743,0.015295183358402742,0.005986958763997879,0.0007380474764190452,0.04100284522086339,0.0002653935735315114,0.012046152787020037,0.1075204052000922,0.0075854121060514035,0.00813291747307815
1967-10-16,0.016902757734394647,0.007883751071039002,0.012848193581567191,-0.0007220448124817258,0.017335469427047112,0.020076815896209715,0.007223182499889902,0.007208929491611837,0.01168546518006558,0.030600186356567916,0.014371509118719539,0.00424870679943197,0.23700106461186055,0.016025589939165252,0.012367129798177834,0.007714876944928381,0.0007721918954823707,0.03279551187192764,0.00019800195905201115,0.012799034059327669,0.1480540081389221,0.013284266055746008,0.004940135679617125
1967-10-17,0.01645878730123662,0.03231853335814017,0.026737130175166657,0.005858459048574627,0.012637983773494399,0.016868165047768252,0.008960664502426996,0.007127538369243153,0.005107527911872467,0.0548622823954803,0.028120727146164426,0.004680868729376134,0.20087786660402962,0.008238942393353654,0.01145071151826979,0.005219860191213316,0.00095734889775137,0.04147435093919816,0.00024340263162835876,0.0075509521472518215,0.14966612688773262,0.01285046471676432,0.0037882140856871638
1967-10-18,0.023480581115416177,0.04037869596385224,0.026255010786225164,0.003842612621796637,0.011820755487585544,0.012016144486186375,0.009581139621895773,0.007187938912056074,0.019201838414540207,0.05440799396751683,0.030494257576354267,0.004900858735179814,0.2534469438576914,0.013750393201502176,0.009411436175625537,0.005602622774470198,0.0009048047032710824,0.030320660905912344,0.0003049688799455965,0.010205207014940348,0.151617015998327,0.010866478095280407,0.0036280771423101987
1967-10-19,0.017976464960998695,0.051192880399087426,0.01959207875944391,0.006054109973598676,0.012252955318957759,0.009953103930926716,0.00996337016273724,0.006320207451848664,0.023787571122988294,0.0406014240301773,0.02923023037174144,0.005338141613084324,0.2677598914288022,0.008822092649256597,0.010457339443386338,0.006071189659442422,0.0005645260482626466,0.02954310500270796,0.0003223676197061532,0.009420420966776866,0.12347338877442438,0.013038050550825908,0.004362644879883054
1967-10-20,0.012317199971181525,0.05734670935788011,0.05084900007331461,0.007231753054368739,0.005780079380555692,0.01276458836626454,0.008249992685828045,0.005816266214606208,0.014243154810156256,0.041375593263276444,0.019879839170510616,0.004782588794402756,0.2766539233126126,-0.004664602198792611,0.01271172938430215,0.004996964507287663,0.0005283842491294877,0.03112399217779327,0.00026635514509791656,0.007508047993941724,0.1445863626920849,0.010798799402434223,0.006288629877380714
1967-10-23,0.015346319382168905,0.039968025452919,0.054621104000010634,0.00504990912462111,0.01848494734614342,0.012346859189825338,0.01325304399590016,0.007275801694679812,0.018630128885423425,0.04769446711931291,0.019933220367712945,0.0039471415008039135,0.22528990437144625,0.004127635526625539,0.006004038011936913,0.004860388810510291,0.0006332022493541686,0.04266355860160509,0.00021705481964926767,0.007463194563216646,0.18110614192047692,0.012403848154191544,0.0041560166812709964
1967-10-24,0.01976145063457313,0.022149595114679288,0.046041840753972885,0.008028023635388237,0.014505577336369924,0.011388020957488088,0.008097250935004574,0.008045079073559114,0.012371028415543273,0.05219376661330655,0.00701027213363925,0.005521588782627027,0.22721102286011252,-0.0031648620602549027,0.008419983208256987,0.006416244656360731,0.0006070710771601609,0.032226270967892656,0.00017309100175118362,0.007150371198487437,0.1352560108193046,0.010527041506793178,0.0030829673654849954
1967-10-25,0.022450209026671164,0.01984941931346229,0.07091974242197363,0.00657389003088743,0.010481749637183013,0.015346712564670295,0.009498365140081844,0.010483862909818537,0.013461515883929354,0.05176733178601478,0.01614050256397126,0.0062082576993808675,0.2213744403987281,0.003037032035081655,0.009382688770600167,0.006365620330494939,0.0003232907287334455,0.03847189384738048,0.00022413199903173822,0.007110566928467538,0.12180475992773898,0.012626083462650595,0.003908282085228143
