,Retorno_Anual_1y,Volatilidad_Anual_1y,Sharpe_Ratio_1y,Skewness_1y,Kurtosis_1y,Max_Drawdown_1y,Total_Return_1y,Upside_Capture_1y,Downside_Capture_1y,Alpha_1y,Alpha_adj_1y,Beta_Mkt-RF_1y,Beta_Mkt-RF_adj_1y,Beta_SMB_1y,Beta_SMB_adj_1y,Beta_HML_1y,Beta_HML_adj_1y,Beta_MOM_1y,Beta_MOM_adj_1y,R2_Adj_1y,Tracking_Error_1y,Information_ratio_1y,Information_ratio_adj_1y,Retorno_Anual_3y,Volatilidad_Anual_3y,Sharpe_Ratio_3y,Skewness_3y,Kurtosis_3y,Max_Drawdown_3y,Total_Return_3y,Upside_Capture_3y,Downside_Capture_3y,Alpha_3y,Alpha_adj_3y,Beta_Mkt-RF_3y,Beta_Mkt-RF_adj_3y,Beta_SMB_3y,Beta_SMB_adj_3y,Beta_HML_3y,Beta_HML_adj_3y,Beta_MOM_3y,Beta_MOM_adj_3y,R2_Adj_3y,Tracking_Error_3y,Information_ratio_3y,Information_ratio_adj_3y,Retorno_Anual,Volatilidad_Anual,Sharpe_Ratio,Skewness,Kurtosis,Max_Drawdown,Total_Return,Upside_Capture,Downside_Capture,Alpha,Alpha_adj,Beta_Mkt-RF,Beta_Mkt-RF_adj,Beta_SMB,Beta_SMB_adj,Beta_HML,Beta_HML_adj,Beta_MOM,Beta_MOM_adj,R2_Adj,Tracking_Error,Information_ratio,Information_ratio_adj
94181,0.23742872962688735,0.13349030864989905,1.778621474683862,0.26553506958623907,0.5997873892564507,-0.0650671004473361,0.26798462383305877,0.8049250120461252,0.7765995312162334,-0.0007340747798189919,-0.0002568514221554126,0.8812727084149259,0.8810815584169803,0.0016770340620312907,1.4630838993230673e-05,0.10973604061602678,0.05325151282769851,0.20323135493040212,0.16953029670830327,0.6583839747846593,0.07490015143443607,-0.009800711557460134,-0.003429251039368696,0.05890240129687094,0.19341748146948082,0.22887831868766617,-2.7342130166857905,20.046799757723182,-0.31152491192752907,0.19328165374676987,0.9146819316975761,0.9331699700403593,-0.000596163926316212,-0.0003132650265524755,0.9918707343624535,0.9918707343580413,0.039747976522190226,0.014768985568194224,0.10824665808523676,0.08111069413689458,0.1381759954100083,0.12796125088220692,0.8647420845288062,0.07033611811808015,-0.00847592875847048,-0.004453828771536222,0.08912957479752762,0.170855769847337,0.46226988987428386,-2.330800483526309,18.055613865959998,-0.3801540552786593,0.6410803127221021,0.9549866223983557,0.9607735429812475,-0.00044852209953141325,-0.00024313887367286574,1.0141224771879158,1.014122477187911,0.05640380531715169,0.031641986974833045,0.17741034847170237,0.168842094632485,0.14760314126707064,0.14277273458535908,0.8351490779716318,0.06902143214788355,-0.00649830184007804,-0.0035226576167229134
94182,0.1823215567939545,0.1404986757454379,1.2976745569068087,0.048713345710171246,0.7243625006093155,-0.08405797101449286,0.19999999999999973,0.7806991413363314,0.9704420607106068,-0.00217059655008034,-0.0015331150550418151,0.9414635688989174,0.9413022578964271,0.009558601054313609,0.0004484982947406617,0.13745068664952356,0.07571598506985705,0.2129984859755807,0.17821152878767296,0.6669302569740787,0.07784014975168042,-0.02788530799343023,-0.0196956848096084,-0.013100617449204524,0.19581138711012974,-0.14163604676851363,-2.783972813635135,20.459937476202718,-0.37955465587044557,-0.03853955375253537,0.8478726897564489,1.0289602628460137,-0.001971444814396378,-0.0017999707758729743,1.007439893847733,1.007439893843926,0.057376574231280814,0.027848726177112614,0.10102629909708444,0.07291600809934577,0.1207693324577762,0.1081086065068999,0.8655467825435992,0.07099703830678335,-0.027767986685270196,-0.025352758633327352,0.023701331435217524,0.1724731472028484,0.07858170833668503,-2.383282263669837,18.639956162923244,-0.47109577221742915,0.14079422382671547,0.8802570398468692,1.052286961608657,-0.001709395669465371,-0.001619583756969265,1.0264285100538162,1.0264285100538115,0.06540884127834018,0.039981549477176616,0.18206356685312128,0.17367812700708526,0.13903625322759763,0.13330013561178614,0.8348574282314059,0.0697396079664434,-0.02451111669982258,-0.023223298842582535
157323,0.22995188844785439,0.13353334099393196,1.7220559804483877,0.2778662878165323,0.6201854141375969,-0.06657906263688151,0.25853945818610047,0.796749796401992,0.7916531165052428,-0.0009009164019238205,-0.0003709765726446621,0.8837990684458996,0.8836182794779945,-0.001916938843902538,-1.918156431877113e-05,0.11688847855882077,0.05943666903474746,0.20891980961685774,0.17622129033044803,0.6613641020685795,0.07459677519475218,-0.012077149442073994,-0.004973091285462967,0.0513315700283571,0.19349014704066334,0.1896646276635025,-2.713970636075676,19.88994144785293,-0.3123655913978495,0.1664847161572045,0.9085916090205725,0.9443678029255232,-0.0007457139704412682,-0.0004528129329597929,0.9917178035287779,0.9917178035246003,0.034960336715400914,0.011746994892953758,0.10612350659395198,0.07887086976537948,0.13796168281214968,0.12778096377357856,0.8654468807418249,0.07017894948952962,-0.010625892462988853,-0.006452261486577974,0.08157881402915676,0.1708237201039732,0.418154557808873,-2.3150773495234644,17.950557945724892,-0.38979007633587814,0.5736377025036812,0.9461607363541775,0.9708962379264121,-0.0005936043610724999,-0.00038289108971915187,1.0141161277951503,1.0141161277951458,0.05477060998486611,0.030183419564803353,0.17685846923281176,0.16828572713420023,0.14621694688991996,0.14130770314640778,0.8357170624885284,0.06888945481336939,-0.008616766712418502,-0.005558050804095552
157325,0.19947183423658832,0.14054139134114113,1.4193102283469161,0.06812108980148497,0.7542202557409787,-0.07778469197261972,0.220757825370675,0.7979359177200297,0.932425778827839,-0.0018834617351527038,-0.0012368050350257116,0.9473329664992161,0.9471864582250079,0.014754202090606211,0.0010604819826672044,0.1448799874776689,0.082854617162324,0.21228772023503706,0.17775426563721602,0.6707951204113074,0.0774107404375551,-0.02433075467960464,-0.015977176139057924,0.018259908584523765,0.19415741337510806,0.01867853093089966,-2.6431235875963153,19.08788708201341,-0.3383084577114427,0.05630791161796145,0.8779210922365489,0.9889688606985932,-0.0013532768013880872,-0.0011025581710866555,0.9965897396352938,0.9965897396309872,0.04248352658440113,0.016578784370057508,0.09340309834099811,0.06497351537648362,0.11209891034277694,0.09844634099220285,0.8647905569446508,0.07059248880350376,-0.01917026619014627,-0.015618632942035209,0.05135861605251803,0.17127023918891718,0.24061693007416313,-2.2717092516438893,17.319956267962286,-0.42672413793103436,0.33034111310592373,0.9115552989985912,1.0139657784329141,-0.0011681995014994893,-0.0010151699514042262,1.0186309127870425,1.0186309127870383,0.055884820633218944,0.031146677312374745,0.18094482753283916,0.17269562087395532,0.1353422077310239,0.12944190236343348,0.8356599241251105,0.06908177637629676,-0.01691038596251732,-0.01469519176626949
157327,0.20145902817936728,0.13333599403071267,1.510912560737074,0.32186651716805986,0.6011487251748235,-0.07458233890214805,0.22318611987381654,0.7698026185596403,0.8586988317433428,-0.0014065411460499081,-0.0007930610029802516,0.8830404657391322,0.8828608691565406,0.0122243733520922,0.000760496186597557,0.09309967629537635,0.04026963881629547,0.18395986985425103,0.14811644566450471,0.6614029825038723,0.07448225351320804,-0.018884245302815444,-0.010647650488174568,0.01810599566755376,0.193127512508199,0.01798118915901738,-2.6953963353627013,19.77858627015782,-0.3414965986394559,0.0558202859087813,0.8797706555979131,0.9913076239354577,-0.001380435926839826,-0.0011373115514606337,0.9894608918515793,0.9894608918475786,0.028535411668942107,0.008133536367557143,0.10308062022467954,0.07569672660502293,0.13383053563831449,0.12325640632044182,0.8659823236679125,0.06990985130484742,-0.019745942826002106,-0.016268258768013924,0.048429652939723074,0.17084142126021162,0.22407654871708543,-2.2827927341611725,17.685872599171397,-0.4325908558030481,0.30886075949367053,0.9102047367274356,1.0205630338865188,-0.0012311835050907805,-0.0010854853687154952,1.0106248567195057,1.0106248567194995,0.04217617154803417,0.019322578069812774,0.16885625859718698,0.15929214319568205,0.14133536750704526,0.13590613731766465,0.8335969559458494,0.0693401312192166,-0.017755713516007538,-0.015654504103601533
168478,0.20701416938432532,0.1403606970035733,1.4748727656934846,0.07011576079499816,0.6828755227071426,-0.07518796992481225,0.2299999999999991,0.8078998310795507,0.9211908732069126,-0.0017055064728884347,-0.0010583936585172263,0.9428718872502031,0.9427213541712189,0.006419279637364023,0.00020519998870586616,0.14051078450166235,0.0788522555522468,0.21565299422527504,0.1816359388487975,0.6706637228868636,0.07732664060509199,-0.022055871812645723,-0.013687309447754939,0.025778782025264357,0.19432725060581735,0.057354018323137704,-2.6703966854262604,19.409397983190445,-0.3306397306397304,0.08040540540540486,0.8847694112966936,0.9783696426059065,-0.0012141938903407607,-0.0009458737931708476,0.9967650857988047,0.9967650857942868,0.041966084275917775,0.016197047806209033,0.09261521494108654,0.06407394992066609,0.11435816589743042,0.10095163459881645,0.864483379230921,0.07073390232665021,-0.01716565678412023,-0.01337228347451818,0.058995506304713216,0.1713881721434998,0.2850103878697133,-2.2920391953442443,17.61542278469715,-0.4176918570591681,0.38802083333333326,0.9207562532163794,1.0035280706165826,-0.0010234035804185446,-0.0008496948849536086,1.0182032429749754,1.0182032429749706,0.054897135977944024,0.030164362589440042,0.17975545608758328,0.17128887003538013,0.1368238402177296,0.13098634682915725,0.8345598027024805,0.06936002498508126,-0.014754948266507544,-0.012250498542011348
197884,0.34925847586015407,0.14182902644565498,2.462531715917689,-0.13602630021120513,0.6996300583238604,-0.05275119617224877,0.4180156657963452,1.0002602023811142,0.7195367162565763,0.002366626215660155,0.0017791293478725755,0.8553352385875518,0.8551043775974135,-0.37382050880223805,-0.32117998524783736,-0.11548583773655527,-0.05821978262181777,0.12494334327627807,0.08371170522554243,0.6995536474692967,0.07462982628020805,0.031711533224991414,0.0238393875016215,0.08075581214769119,0.24120743425983465,0.2741311809781496,-3.954231544745805,31.324832713153587,-0.41049874743794124,0.27413489736070473,0.9639601357583698,0.933870639664356,-0.0005029639647648823,-0.00017131090823751228,1.1690132949774616,1.1690132933607613,0.2074829996257875,0.165827364721523,-0.08414993515163044,-0.04286891105658682,0.09841971922306388,0.06960891524857508,0.8015669697660279,0.10622165725502268,-0.004735041589092696,-0.0016127681742548962,0.09139496645971448,0.20090416336470282,0.4044061019602331,-3.78022258818091,35.46772577730532,-0.4202687569988801,0.6618727050183599,0.949774595593573,0.941149709180904,-0.00024636975185085824,-6.494254842430615e-05,1.1314734256259356,1.1314734256213843,0.25465620057424426,0.23667710650705853,-0.1421102070470701,-0.11694565369546217,0.005900350022541235,0.0005480623444610361,0.7653567498409292,0.09678133791444574,-0.002545632837486169,-0.0006710234619996167
205457,0.18668565349581215,0.13988469580817087,1.3345681056619745,0.055181185455967015,0.6818386785695996,-0.08273894436519225,0.2052483598875361,0.78279384130858,0.9554964578303737,-0.0021065836714039598,-0.0014749871518384954,0.9413160813691941,0.9411718078445347,0.007218636540481632,0.00026057457970030703,0.14844415573763986,0.0866058601130609,0.22292176899878138,0.1902771437235109,0.6725766789387861,0.07684026400296784,-0.027415101948668422,-0.01919549823230079,0.0057517766969209325,0.19443853642922398,-0.045677964870123926,-2.672105559686512,19.397185195544925,-0.3520126282557221,0.01740506329114022,0.8641972703102275,1.0033056351243868,-0.0015989583959521187,-0.001380411754832794,0.9979897690851867,0.9979897690809231,0.048482166708308794,0.02089914182648145,0.09040720298487165,0.061787553027017765,0.11329807936195835,0.09977904375612856,0.8649189570084072,0.07066067039753036,-0.022628689863208592,-0.019535786273562446,0.0388955469303225,0.17155108188393783,0.16757370299744495,-2.292054319025431,17.57389165083415,-0.44225543478260865,0.24131274131274383,0.8961870535602565,1.0301896761180365,-0.0014060684646990031,-0.0012827350945780985,1.0201111852844518,1.0201111852844469,0.06071782296510757,0.03555301963084047,0.17948433148948287,0.17095963648154014,0.13557177081519522,0.12959544219745747,0.8344671203320273,0.06944517400794697,-0.020247173180646064,-0.018471191308863426
242711,0.18675872043553474,0.1379846254454617,1.3534748515105472,0.17626726522352543,0.42873509739906535,-0.06905829596412538,0.20533642691415377,0.7188242900303368,0.8079892160320485,-0.001433792900987796,-0.0007502800584108896,0.8563159414785687,0.8556892888504439,-0.08112463200289768,-0.025276333276586425,0.09729112911487349,0.03936893006518091,0.19731204489442142,0.15486490891480453,0.5878751697447973,0.08503719584038795,-0.01686077353348973,-0.008822963304424346,-0.006040540439672504,0.19825097554347829,-0.1042813217757502,-2.768614190411655,20.076423603046333,-0.38171536286522156,-0.017958412098298848,0.8358451849730716,0.9982420195255453,-0.0018471499758308226,-0.001603856349692874,0.9963690889723338,0.9963690888746336,0.03260911725927304,0.009270484507317269,0.09254941085353774,0.05977957989697484,0.12400842720824112,0.10807150779259472,0.8328818510071283,0.080137874399066,-0.023049650239442224,-0.020013712139482037,0.03152829582661905,0.1751251726688301,0.12208524117339122,-2.3462200107981976,18.04983044504306,-0.46579804560260596,0.19151376146789056,0.8806715166558301,1.0312013131755644,-0.0015876988375391403,-0.0014571769211666078,1.0199234888943698,1.0199234888942714,0.03638992990755022,0.013871302934721795,0.1828648070250914,0.17199337618045774,0.14851623241984593,0.14188714920126003,0.807838032327307,0.07638087391965204,-0.020786602143480336,-0.019077772305923967
70381,0.24365449179064674,0.1547126943406638,1.5748836437050273,-0.5797756874099133,0.16567807598701956,-0.11025189320277318,0.27590341921892714,0.8538167085915026,0.8608894754249844,-0.0007371895671718616,-0.00021427201217135659,0.8714863492267061,0.87032993765933,-0.09159646021769238,-0.02896099664273214,0.05965067118945257,0.014867731032551535,0.38920803090903183,0.36389108375316853,0.5967166964738515,0.09431807131447026,-0.007815994929688116,-0.0022718023087743423,0.09675313115536038,0.21249164878317336,0.38646129526634787,-2.1916688475607287,14.26516267258688,-0.31516137781394093,0.3367741935483868,0.9978973697971243,0.9365110019457189,-0.00020885919310367166,-3.588846087938332e-05,0.9919119035918342,0.9919118972716995,-0.09220016005869372,-0.0498467382232419,0.038774663539416276,0.011662808066958033,0.249083534947268,0.24068568226077292,0.7848209386655658,0.09742540186219915,-0.002143785800330464,-0.00036836862043581643,0.1379052290271101,0.18910391692401102,0.6755922046428818,-1.8136044050717908,12.615777107914644,-0.3206887274683886,1.1520800306128032,1.0715220058088621,0.9683396900318255,0.0003057505364441547,9.914031609948119e-05,1.0392798399788643,1.039279839962526,-0.02107852717744278,-0.0042715291044993385,0.12197933599762759,0.09566424676520621,0.19621434036152724,0.18930373938329406,0.7514857289322586,0.09376665852835674,0.0032607596478623603,0.0010573088308303037
